S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,06-Jan-2024,100004692057241,212737810829773,1545207,1935,08-Jan-2024,,
2,06-Jan-2024,100004704547732,753131814401730,1545208,5150,08-Jan-2024,,
3,06-Jan-2024,100004680708568,175737807818347,1545210,390.56,08-Jan-2024,,
4,06-Jan-2024,100004651404150,799146799597729,1545211,340.56,08-Jan-2024,,
5,06-Jan-2024,100004711543310,868699816722362,1545212,825.4,08-Jan-2024,,
6,06-Jan-2024,100004675261778,165586806313626,1545213,120,08-Jan-2024,,
7,06-Jan-2024,100004711909033,937990816785125,1545216,730.56,08-Jan-2024,,
8,06-Jan-2024,100004712633182,160043817223549,1545217,765.4,08-Jan-2024,,
9,06-Jan-2024,100004700637276,176761813252992,1545218,1770.56,08-Jan-2024,,
10,06-Jan-2024,100004693129987,147822811051737,1545220,1470,08-Jan-2024,,
11,06-Jan-2024,100004670843890,710791804923579,1545221,290.56,08-Jan-2024,,
12,06-Jan-2024,100004440451608,172779748779164,1545222,1990,08-Jan-2024,,
13,06-Jan-2024,100004707309060,410697815270973,1545223,315.84,08-Jan-2024,,
14,06-Jan-2024,100004672606610,129598805543971,1545225,1540,08-Jan-2024,,
15,06-Jan-2024,100004702771776,177224813728570,1545227,795,08-Jan-2024,,
16,06-Jan-2024,100004709960017,102947816040222,1545228,340,08-Jan-2024,,
17,06-Jan-2024,100004461519353,184160754215063,1545230,180.28,08-Jan-2024,,
18,06-Jan-2024,100004711821807,113030816787318,1545231,1713.75,08-Jan-2024,,
19,06-Jan-2024,100004705803129,107162814752088,1545232,691.68,08-Jan-2024,,
20,06-Jan-2024,100004712043164,187005816831861,1545233,1030.4,08-Jan-2024,,
21,06-Jan-2024,100004711910203,333347816785880,1545235,468.05,08-Jan-2024,,
22,06-Jan-2024,100004711764408,127888816782509,1545236,542.7,08-Jan-2024,,
23,06-Jan-2024,100004656750858,188268801044359,1545237,3105,08-Jan-2024,,
24,06-Jan-2024,100004593975104,676011787567623,1545238,1420.56,08-Jan-2024,,
25,06-Jan-2024,100004437592220,183460748038467,1545239,7620.84,08-Jan-2024,,
26,06-Jan-2024,100004705971097,160689814840691,1545240,1190,08-Jan-2024,,
27,06-Jan-2024,100004703457167,185699813911829,1545241,1540.56,08-Jan-2024,,
28,06-Jan-2024,100004709705377,275114816011397,1545242,950.56,08-Jan-2024,,
29,06-Jan-2024,100004707318113,750066815274662,1545244,430.28,08-Jan-2024,,
30,06-Jan-2024,100004672592888,577671805547640,1545245,770,08-Jan-2024,,
31,06-Jan-2024,100004515494134,202268767218970,1545247,4200,08-Jan-2024,,
32,06-Jan-2024,100004707302310,100073815276287,1545248,765,08-Jan-2024,,
33,06-Jan-2024,100004711769664,204662816782592,1545249,319.1,08-Jan-2024,,
34,06-Jan-2024,100004710785768,177179816617700,1545250,155.28,08-Jan-2024,,
35,06-Jan-2024,100004675754958,109472806459973,1545252,625,08-Jan-2024,,
36,06-Jan-2024,100004691512134,194756810514950,1545253,2915,08-Jan-2024,,
37,06-Jan-2024,100004699768514,177259813102888,1545255,160.56,08-Jan-2024,,
38,06-Jan-2024,100004703666238,744140814029560,1545257,1450,08-Jan-2024,,
39,06-Jan-2024,100004705374991,192542814597100,1545258,1510,08-Jan-2024,,
40,06-Jan-2024,100004708414072,204566815730901,1545259,1900,08-Jan-2024,,
41,06-Jan-2024,100004710515830,451404816491945,1545260,790.28,08-Jan-2024,,
42,06-Jan-2024,100004711769974,742419816783953,1545262,319.1,08-Jan-2024,,
43,06-Jan-2024,100004711786762,113295816783395,1545263,1518.75,08-Jan-2024,,
44,06-Jan-2024,100004711856694,181236816793490,1545264,428.4,08-Jan-2024,,
45,06-Jan-2024,100004711931079,409577816784813,1545265,1728.75,08-Jan-2024,,
46,07-Jan-2024,100004675570953,152062806359915,1545288,2530.56,08-Jan-2024,,
47,07-Jan-2024,100004711775803,809802816783938,1545282,365.28,08-Jan-2024,,
