S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,11-Jan-2024,100004722147872,180213820100421,1545547,1018.05,12-Jan-2024,,
2,11-Jan-2024,100004719261788,189939819236471,1545548,1050.28,12-Jan-2024,,
3,11-Jan-2024,100004722262289,115922820100061,1545549,392.7,12-Jan-2024,,
4,11-Jan-2024,100004716492495,706736818262695,1545550,440,12-Jan-2024,,
5,11-Jan-2024,100004591771594,133162787135609,1545551,225.28,12-Jan-2024,,
6,11-Jan-2024,100004440325241,182643748752217,1545552,685.28,12-Jan-2024,,
7,11-Jan-2024,100004722179393,200531820087674,1545553,173.05,12-Jan-2024,,
8,11-Jan-2024,100004709575298,165688815979587,1545554,55,12-Jan-2024,,
9,11-Jan-2024,100004720125257,182199819531234,1545562,2400,12-Jan-2024,,
10,11-Jan-2024,100004722126680,172972820086424,1545567,808.4,12-Jan-2024,,
11,11-Jan-2024,100004723390330,112752820620437,1545573,100.28,12-Jan-2024,,
12,11-Jan-2024,100004658304665,196533801549952,1545575,4201.68,12-Jan-2024,,
13,11-Jan-2024,100004722039559,973453820077628,1545580,788.4,12-Jan-2024,,
14,11-Jan-2024,100004448905653,478266750872251,1545585,975.28,12-Jan-2024,,
15,11-Jan-2024,100004448998170,859934750871777,1545590,1640,12-Jan-2024,,
16,11-Jan-2024,100004722024768,276474820078081,1545595,413.05,12-Jan-2024,,
17,11-Jan-2024,100004697719024,111786812415296,1545600,645.28,12-Jan-2024,,
18,11-Jan-2024,100004722179650,200391820096036,1545605,173.05,12-Jan-2024,,
19,11-Jan-2024,100004694657171,117081811533690,1545555,2210,12-Jan-2024,,
20,11-Jan-2024,100004703565820,932334814077600,1545556,620,12-Jan-2024,,
21,11-Jan-2024,100004705048804,178226814505341,1545557,1801.12,12-Jan-2024,,
22,11-Jan-2024,100004708277635,150078815693569,1545558,120.84,12-Jan-2024,,
23,11-Jan-2024,100004709618134,519408815989010,1545559,150,12-Jan-2024,,
24,11-Jan-2024,100004718254698,542136818884737,1545560,230,12-Jan-2024,,
25,11-Jan-2024,100004718817059,195458819124116,1545561,2495,12-Jan-2024,,
26,11-Jan-2024,100004721746185,206378820015585,1545564,1265.75,12-Jan-2024,,
27,11-Jan-2024,100004722020758,130584820077815,1545565,463.05,12-Jan-2024,,
28,11-Jan-2024,100004722041379,667406820076996,1545566,603.75,12-Jan-2024,,
29,11-Jan-2024,100004722178279,154701820085835,1545568,365,12-Jan-2024,,
30,11-Jan-2024,100004722185267,246141820088764,1545569,158.05,12-Jan-2024,,
31,11-Jan-2024,100004722210391,112919820093022,1545570,413.05,12-Jan-2024,,
32,11-Jan-2024,100004722240041,168812820086935,1545571,1413.75,12-Jan-2024,,
33,11-Jan-2024,100004722521306,453200820190979,1545572,720.56,12-Jan-2024,,
34,11-Jan-2024,100004721630965,669112820015515,1545563,3246.1,12-Jan-2024,,
35,11-Jan-2024,100004722081814,156850820085028,1545578,3650,12-Jan-2024,,
36,11-Jan-2024,100004717620733,125835818563144,1545589,385.28,12-Jan-2024,,
37,11-Jan-2024,100004707961986,979041815556503,1545601,10,12-Jan-2024,,
38,11-Jan-2024,100004704674050,196755814401828,1545574,1801.12,12-Jan-2024,,
39,11-Jan-2024,100004722188502,210648820096451,1545576,2868.75,12-Jan-2024,,
40,11-Jan-2024,100004722521357,132364820193945,1545577,600.56,12-Jan-2024,,
