S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,14-Jan-2024,100004609521849,163557790726328,1545760,210.56,15-Jan-2024,,
2,14-Jan-2024,100004727204097,541320821850705,1545761,335,15-Jan-2024,,
3,14-Jan-2024,100004727204148,119771821855972,1545762,130,15-Jan-2024,,
4,14-Jan-2024,100004684778853,179058808960157,1545763,785.28,15-Jan-2024,,
5,14-Jan-2024,100004581385838,143117784728420,1545765,90,15-Jan-2024,,
6,14-Jan-2024,100004714462088,138999817572142,1545766,235,15-Jan-2024,,
7,14-Jan-2024,100004703329174,158110813842057,1545767,1035.28,15-Jan-2024,,
8,14-Jan-2024,100004724551079,417957820826000,1545768,450.28,15-Jan-2024,,
9,14-Jan-2024,100004724269002,731664820766565,1545771,675.28,15-Jan-2024,,
10,14-Jan-2024,100004728094357,119540822162433,1545772,4596.1,15-Jan-2024,,
11,14-Jan-2024,100004627193050,702136794420715,1545773,460,15-Jan-2024,,
12,14-Jan-2024,100004698606003,134642812956529,1545775,1100,15-Jan-2024,,
13,14-Jan-2024,100004708400419,788167815758636,1545776,820.56,15-Jan-2024,,
14,14-Jan-2024,100004447930278,654603750777611,1545777,315.84,15-Jan-2024,,
15,14-Jan-2024,100004728349637,134136822177789,1545778,437.7,15-Jan-2024,,
16,14-Jan-2024,100004630074301,150821795112856,1545780,360.56,15-Jan-2024,,
17,12-Jan-2024,100004697719024,111786812415296,1545627,645.28,15-Jan-2024,,
18,12-Jan-2024,100004631879900,114932795422773,1545628,1700.56,15-Jan-2024,,
19,12-Jan-2024,100004711381508,186847816712934,1545629,1200.28,15-Jan-2024,,
20,12-Jan-2024,100004697879478,650648812565832,1545631,45,15-Jan-2024,,
21,12-Jan-2024,100004687818284,205448809392255,1545632,4920.56,15-Jan-2024,,
22,12-Jan-2024,100004565025762,109868780306009,1545633,730,15-Jan-2024,,
23,12-Jan-2024,100004673887434,907648806001440,1545636,55.28,15-Jan-2024,,
24,12-Jan-2024,100004691503338,124206810528777,1545637,700,15-Jan-2024,,
25,12-Jan-2024,100004697358877,168353812362431,1545638,645.28,15-Jan-2024,,
26,12-Jan-2024,100004668884978,131935804659978,1545639,345.84,15-Jan-2024,,
27,12-Jan-2024,100004457615661,198974753164326,1545641,3151.4,15-Jan-2024,,
28,12-Jan-2024,100004681306938,682216808219489,1545642,2480,15-Jan-2024,,
29,12-Jan-2024,100004724537576,102881820835283,1545643,2403.75,15-Jan-2024,,
30,12-Jan-2024,100004724580454,882791820835491,1545644,378.4,15-Jan-2024,,
31,12-Jan-2024,100004724648062,205828820836765,1545647,2958.75,15-Jan-2024,,
32,12-Jan-2024,100004724478332,158776820826002,1545648,3197.7,15-Jan-2024,,
33,12-Jan-2024,100004712731444,179291817338127,1545649,1135.28,15-Jan-2024,,
34,12-Jan-2024,100004687818241,380979809388956,1545651,3000.56,15-Jan-2024,,
35,12-Jan-2024,100004724450554,377701820825738,1545652,868.4,15-Jan-2024,,
36,12-Jan-2024,100004724516801,124439820836109,1545653,2763.75,15-Jan-2024,,
37,12-Jan-2024,100004697745582,988187812492699,1545654,90,15-Jan-2024,,
38,12-Jan-2024,100004724931055,183785820974325,1545656,1560.75,15-Jan-2024,,
39,12-Jan-2024,100004701711710,149310813534948,1545657,1440.28,15-Jan-2024,,
40,12-Jan-2024,100004718767720,139210819138666,1545659,270.84,15-Jan-2024,,
41,12-Jan-2024,100004702053624,924166813617787,1545660,215.28,15-Jan-2024,,
42,14-Jan-2024,100004724260519,502286820779416,1545781,370,15-Jan-2024,,
43,14-Jan-2024,100004726932849,148114821780385,1545782,1310,15-Jan-2024,,
44,14-Jan-2024,100004728168550,208633822172084,1545783,2480,15-Jan-2024,,
45,14-Jan-2024,100004729187157,163386822288867,1545784,467.7,15-Jan-2024,,
46,14-Jan-2024,100004684985330,214645808962888,1545764,785.28,15-Jan-2024,,
47,14-Jan-2024,100004716944998,307748818417213,1545769,3270,15-Jan-2024,,
48,14-Jan-2024,100004535884507,159638771967877,1545774,220.56,15-Jan-2024,,
49,14-Jan-2024,100004696846914,478541812250849,1545779,170,15-Jan-2024,,
50,13-Jan-2024,100004621967178,540726793111949,1545694,345,15-Jan-2024,,
51,13-Jan-2024,100004592039470,800599787162611,1545705,1400,15-Jan-2024,,
52,13-Jan-2024,100004722218486,140632820106486,1545714,130.56,15-Jan-2024,,
53,13-Jan-2024,100004572800704,920867782785750,1545725,1320,15-Jan-2024,,
54,13-Jan-2024,100004556079947,398511777655416,1545743,5625,15-Jan-2024,,
55,13-Jan-2024,100004589195258,143815786563378,1545753,400.56,15-Jan-2024,,
56,12-Jan-2024,100004720346400,680373819718803,1545662,35,15-Jan-2024,,
57,12-Jan-2024,100004722142669,410529820087012,1545663,430.28,15-Jan-2024,,
58,12-Jan-2024,100004724103840,466987820766756,1545664,2631.45,15-Jan-2024,,
59,12-Jan-2024,100004724369852,196906820826032,1545665,888.4,15-Jan-2024,,
60,12-Jan-2024,100004724499007,748561820826089,1545666,223.05,15-Jan-2024,,
61,12-Jan-2024,100004724525241,108255820827387,1545667,413.05,15-Jan-2024,,
62,12-Jan-2024,100004724587704,172987820837733,1545668,440.28,15-Jan-2024,,
63,12-Jan-2024,100004725745293,140383821431644,1545669,820,15-Jan-2024,,
64,12-Jan-2024,100004721188891,161691819924345,1545670,970,15-Jan-2024,,
65,12-Jan-2024,100004719667618,230119819313261,1545671,665,15-Jan-2024,,
66,12-Jan-2024,100004688134943,175055809455056,1545672,2800.56,15-Jan-2024,,
67,12-Jan-2024,100004721233908,158332819939828,1545673,2420.56,15-Jan-2024,,
68,12-Jan-2024,100004723449651,108048820652760,1545675,270.84,15-Jan-2024,,
69,12-Jan-2024,100004694497327,383024811529829,1545676,2600,15-Jan-2024,,
