S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,18-Jan-2024,100004722381358,369816820154784,1546328,350,23-Jan-2024,,
2,20-Jan-2024,100004740381579,483686824547922,1546329,4420,23-Jan-2024,,
3,20-Jan-2024,100004740433627,334935824552694,1546330,1525.28,23-Jan-2024,,
4,20-Jan-2024,100004740527112,125226824551760,1546331,1085.28,23-Jan-2024,,
5,20-Jan-2024,100004740991185,682570824675565,1546333,405,23-Jan-2024,,
6,20-Jan-2024,100004741021689,166266824741287,1546334,2950,23-Jan-2024,,
7,20-Jan-2024,100004741028464,173082824721484,1546335,130,23-Jan-2024,,
8,20-Jan-2024,100004741551733,130388825110964,1546336,1501.68,23-Jan-2024,,
9,20-Jan-2024,100004531311867,139295771362898,1546167,220.28,23-Jan-2024,,
10,20-Jan-2024,100004739523444,105051824294539,1546168,210,23-Jan-2024,,
11,20-Jan-2024,100004741874272,875928825156011,1546169,103.05,23-Jan-2024,,
12,20-Jan-2024,100004487469494,157596760601421,1546170,270,23-Jan-2024,,
13,21-Jan-2024,100004742413956,252527825202444,1546269,3759.1,23-Jan-2024,,
14,21-Jan-2024,100004743148689,101657825280489,1546279,208.05,23-Jan-2024,,
15,21-Jan-2024,100004712206192,185834816915874,1546294,650,23-Jan-2024,,
16,21-Jan-2024,100004487905842,140695760765478,1546306,390,23-Jan-2024,,
17,21-Jan-2024,100004739330049,113755824130972,1546317,765,23-Jan-2024,,
18,22-Jan-2024,100004653598595,181992800121548,1546366,601.4,23-Jan-2024,,
19,22-Jan-2024,100004479409279,437528758483843,1546377,3720,23-Jan-2024,,
20,22-Jan-2024,100004706524557,140867815121500,1546390,265,23-Jan-2024,,
21,20-Jan-2024,100004740640808,340608824604121,1546171,1143.75,23-Jan-2024,,
22,20-Jan-2024,100004740730478,194400824604936,1546172,188.05,23-Jan-2024,,
23,20-Jan-2024,100004740724614,906709824606179,1546173,818.05,23-Jan-2024,,
24,20-Jan-2024,100004740648713,193800824604720,1546174,442.7,23-Jan-2024,,
25,20-Jan-2024,100004475010334,213957757446364,1546175,800.56,23-Jan-2024,,
26,20-Jan-2024,100004731011570,774242822510316,1546176,600.28,23-Jan-2024,,
27,20-Jan-2024,100004725213412,187094821211159,1546177,260,23-Jan-2024,,
28,20-Jan-2024,100004738863421,185717823948348,1546178,1240.56,23-Jan-2024,,
29,20-Jan-2024,100004583378700,167462785113693,1546179,890.56,23-Jan-2024,,
30,20-Jan-2024,100004740735602,526234824608921,1546180,978.4,23-Jan-2024,,
31,20-Jan-2024,100004740670516,202509824604107,1546181,548.05,23-Jan-2024,,
32,20-Jan-2024,100004740713854,109552824611083,1546182,998.05,23-Jan-2024,,
33,20-Jan-2024,100004740345942,244290824548755,1546183,2756.1,23-Jan-2024,,
34,20-Jan-2024,100004740659614,119761824604496,1546184,442.7,23-Jan-2024,,
35,20-Jan-2024,100004719830304,184273819374148,1546185,1530,23-Jan-2024,,
36,20-Jan-2024,100004727384711,180915822046170,1546186,965.28,23-Jan-2024,,
37,20-Jan-2024,100004736563741,105145823300540,1546187,665,23-Jan-2024,,
38,20-Jan-2024,100004725213470,222052821216217,1546188,260,23-Jan-2024,,
39,20-Jan-2024,100004719858213,102832819377838,1546189,2220,23-Jan-2024,,
40,21-Jan-2024,100004739082054,128478824010598,1546262,1160,23-Jan-2024,,
41,21-Jan-2024,100004739153832,760566824115789,1546263,100,23-Jan-2024,,
42,21-Jan-2024,100004740640092,104080824600559,1546264,875,23-Jan-2024,,
43,21-Jan-2024,100004742136664,184308825189827,1546265,4806.45,23-Jan-2024,,
44,21-Jan-2024,100004742215113,126246825189971,1546266,1675.28,23-Jan-2024,,
45,21-Jan-2024,100004742368070,346139825196686,1546267,1130,23-Jan-2024,,
46,21-Jan-2024,100004742404423,110961825201074,1546268,938.4,23-Jan-2024,,
47,21-Jan-2024,100004742466738,179801825203670,1546270,428.4,23-Jan-2024,,
48,21-Jan-2024,100004742503339,172130825202948,1546271,1123.05,23-Jan-2024,,
49,21-Jan-2024,100004742529353,176453825204672,1546272,3668.4,23-Jan-2024,,
50,21-Jan-2024,100004742555347,193635825203415,1546273,558.05,23-Jan-2024,,
51,21-Jan-2024,100004742577267,114904825205991,1546274,727.7,23-Jan-2024,,
52,21-Jan-2024,100004742624782,172745825221829,1546275,2026.1,23-Jan-2024,,
53,21-Jan-2024,100004671638683,478395805324863,1546276,1935.84,23-Jan-2024,,
54,21-Jan-2024,100004742500423,198590825202454,1546277,1167.7,23-Jan-2024,,
55,21-Jan-2024,100004705484994,913205814657416,1546278,2790,23-Jan-2024,,
56,21-Jan-2024,100004742424738,182651825201963,1546280,413.05,23-Jan-2024,,
57,21-Jan-2024,100004741081013,203689824702249,1546281,695,23-Jan-2024,,
58,21-Jan-2024,100004742390700,154868825201206,1546282,198.05,23-Jan-2024,,
59,21-Jan-2024,100004742461295,644852825201037,1546284,443.05,23-Jan-2024,,
60,21-Jan-2024,100004716536336,911333818276414,1546285,2350.56,23-Jan-2024,,
61,21-Jan-2024,100004742411751,151601825202175,1546286,1677.7,23-Jan-2024,,
62,21-Jan-2024,100004742543089,104108825201936,1546287,813.05,23-Jan-2024,,
63,21-Jan-2024,100004709165788,212370815917119,1546288,5590.56,23-Jan-2024,,
64,21-Jan-2024,100004740793492,100057824614683,1546291,365,23-Jan-2024,,
65,21-Jan-2024,100004742231164,335814825189895,1546292,7875.4,23-Jan-2024,,
66,21-Jan-2024,100004739082081,450644824014405,1546293,535,23-Jan-2024,,
67,21-Jan-2024,100004678650424,435421807453452,1546296,2960,23-Jan-2024,,
68,21-Jan-2024,100004467361957,269227755412820,1546297,1170.56,23-Jan-2024,,
69,21-Jan-2024,100004742487146,114752825201353,1546298,197.7,23-Jan-2024,,
70,21-Jan-2024,100004710715424,117726816571727,1546299,1495.28,23-Jan-2024,,
71,21-Jan-2024,100004738728811,774885823943520,1546301,1095.84,23-Jan-2024,,
72,21-Jan-2024,100004742563112,167719825202470,1546302,813.05,23-Jan-2024,,
73,21-Jan-2024,100004722250477,949479820122134,1546303,2345,23-Jan-2024,,
74,21-Jan-2024,100004738337817,415717823888158,1546304,980,23-Jan-2024,,
75,21-Jan-2024,100004738744482,126557823943020,1546307,85,23-Jan-2024,,
76,21-Jan-2024,100004742204259,160319825190030,1546308,1385.28,23-Jan-2024,,
77,21-Jan-2024,100004609579239,169765790719679,1546309,210.56,23-Jan-2024,,
78,21-Jan-2024,100004738511205,301695823888841,1546311,4620.84,23-Jan-2024,,
79,21-Jan-2024,100004742508267,154322825202282,1546312,1983.75,23-Jan-2024,,
80,21-Jan-2024,100004742562037,159275825202314,1546313,1048.4,23-Jan-2024,,
81,21-Jan-2024,100004624145736,147398793731651,1546314,4800,23-Jan-2024,,
82,21-Jan-2024,100004618144092,199000792096069,1546316,1750.56,23-Jan-2024,,
83,21-Jan-2024,100004725164139,615173821139767,1546318,135,23-Jan-2024,,
84,21-Jan-2024,100004742391516,198726825200905,1546319,223.05,23-Jan-2024,,
85,21-Jan-2024,100004640493320,134649797139511,1546321,100,23-Jan-2024,,
86,21-Jan-2024,100004714747621,788294817625721,1546322,640,23-Jan-2024,,
87,21-Jan-2024,100004742309918,928578825201042,1546323,408.4,23-Jan-2024,,
88,22-Jan-2024,100004744153212,195936825420659,1546363,2019.1,23-Jan-2024,,
89,22-Jan-2024,100004727707427,994558822120260,1546368,620,23-Jan-2024,,
90,22-Jan-2024,100004699708315,163278813085152,1546373,690.84,23-Jan-2024,,
91,22-Jan-2024,100004743692742,114673825345665,1546378,2670.56,23-Jan-2024,,
92,22-Jan-2024,100004740733558,102510824609772,1546383,190.56,23-Jan-2024,,
93,22-Jan-2024,100004696102459,166054811962237,1546389,1520,23-Jan-2024,,
94,22-Jan-2024,100004482649875,617448758939447,1546394,290.28,23-Jan-2024,,
95,20-Jan-2024,100004740473207,102367824548427,1546193,1715.75,23-Jan-2024,,
96,20-Jan-2024,100004740824133,194653824609415,1546332,110.28,23-Jan-2024,,
97,20-Jan-2024,100004681248053,201482808102068,1546204,1425,23-Jan-2024,,
98,20-Jan-2024,100004540578328,108720773339726,1546217,175,23-Jan-2024,,
99,20-Jan-2024,100004740846037,212860824609639,1546226,1108.05,23-Jan-2024,,
100,20-Jan-2024,100004502218645,848109763770425,1546237,610.56,23-Jan-2024,,
101,20-Jan-2024,100004733874951,194350822820213,1546248,370.28,23-Jan-2024,,
102,21-Jan-2024,100004738862648,121694823958096,1546283,1250,23-Jan-2024,,
103,21-Jan-2024,100004743367879,248795825305725,1546289,1556.1,23-Jan-2024,,
104,21-Jan-2024,100004740403393,162286824548387,1546290,1085,23-Jan-2024,,
105,21-Jan-2024,100004714747792,165080817628945,1546295,895,23-Jan-2024,,
106,21-Jan-2024,100004667429058,190835804302356,1546300,1555.28,23-Jan-2024,,
107,21-Jan-2024,100004738438686,498541823888605,1546305,1780.28,23-Jan-2024,,
108,21-Jan-2024,100004742579456,766836825207842,1546310,1720,23-Jan-2024,,
109,21-Jan-2024,100004671638737,172698805332765,1546315,1290.56,23-Jan-2024,,
110,21-Jan-2024,100004742544041,176556825201993,1546320,1719.1,23-Jan-2024,,
111,20-Jan-2024,100004740434348,443693824548461,1546191,8720.4,23-Jan-2024,,
112,20-Jan-2024,100004725213441,197541821213938,1546196,870,23-Jan-2024,,
113,20-Jan-2024,100004740459661,159891824563136,1546201,1420.4,23-Jan-2024,,
114,20-Jan-2024,100004687159369,171035809266506,1546206,1550.56,23-Jan-2024,,
115,20-Jan-2024,100004740178250,184069824499618,1546211,637.7,23-Jan-2024,,
116,20-Jan-2024,100004740506137,206101824549054,1546216,1690.75,23-Jan-2024,,
117,20-Jan-2024,100004715956782,213231817947220,1546221,5320,23-Jan-2024,,
118,20-Jan-2024,100004717543290,152226818534350,1546225,960,23-Jan-2024,,
119,20-Jan-2024,100004696284813,123235812117755,1546230,230.28,23-Jan-2024,,
120,20-Jan-2024,100004487394384,208518760593165,1546235,50,23-Jan-2024,,
121,20-Jan-2024,100004740859022,145213824609963,1546240,2018.4,23-Jan-2024,,
122,20-Jan-2024,100004723627278,830386820676307,1546245,2980,23-Jan-2024,,
123,22-Jan-2024,100004482649853,142752758939210,1546347,290.28,23-Jan-2024,,
124,22-Jan-2024,100004672573279,175847805519469,1546348,910.56,23-Jan-2024,,
125,22-Jan-2024,100004740546251,870711824562996,1546349,4210,23-Jan-2024,,
126,22-Jan-2024,100004716511321,694161818257141,1546350,1200,23-Jan-2024,,
127,22-Jan-2024,100004716511297,166084818253949,1546351,510.28,23-Jan-2024,,
128,22-Jan-2024,100004743683755,194684825343007,1546352,8011.68,23-Jan-2024,,
129,22-Jan-2024,100004740442084,437972824547831,1546353,800.28,23-Jan-2024,,
130,22-Jan-2024,100004674747894,113522806224034,1546354,4470.56,23-Jan-2024,,
131,22-Jan-2024,100004587951620,610927786171031,1546355,1115.28,23-Jan-2024,,
132,22-Jan-2024,100004726728797,105731821664466,1546356,811.68,23-Jan-2024,,
133,22-Jan-2024,100004740546128,177288824554702,1546357,1525.28,23-Jan-2024,,
134,22-Jan-2024,100004745026858,173882825896526,1546358,3365.4,23-Jan-2024,,
135,22-Jan-2024,100004560595025,100030778824231,1546359,2670,23-Jan-2024,,
136,22-Jan-2024,100004737859435,190863823777955,1546360,65.28,23-Jan-2024,,
137,22-Jan-2024,100004740545929,142985824604040,1546361,975.84,23-Jan-2024,,
138,20-Jan-2024,100004738456540,199632823888130,1546190,1330.28,23-Jan-2024,,
139,20-Jan-2024,100004736422693,159664823288103,1546192,820.28,23-Jan-2024,,
140,20-Jan-2024,100004740432104,153912824547759,1546194,1265.75,23-Jan-2024,,
141,20-Jan-2024,100004482901249,316432758979324,1546195,520,23-Jan-2024,,
142,20-Jan-2024,100004740983104,889950824663602,1546197,2050.75,23-Jan-2024,,
143,20-Jan-2024,100004740771646,180166824615002,1546198,2728.4,23-Jan-2024,,
144,20-Jan-2024,100004705973779,746029814937891,1546199,540.56,23-Jan-2024,,
145,20-Jan-2024,100004517914520,133744767906870,1546200,265,23-Jan-2024,,
146,20-Jan-2024,100004475031049,173586757429165,1546202,2840.56,23-Jan-2024,,
147,20-Jan-2024,100004664126082,587926803273689,1546203,1476.4,23-Jan-2024,,
148,20-Jan-2024,100004625568847,136207793990672,1546205,3930,23-Jan-2024,,
149,20-Jan-2024,100004736297527,108234823240642,1546207,975,23-Jan-2024,,
150,20-Jan-2024,100004731017107,363026822501564,1546208,725,23-Jan-2024,,
151,20-Jan-2024,100004481878857,423528758833687,1546209,310,23-Jan-2024,,
152,20-Jan-2024,100004740882128,113157824621271,1546210,968.05,23-Jan-2024,,
153,20-Jan-2024,100004481878897,140501758835126,1546212,430,23-Jan-2024,,
154,20-Jan-2024,100004722460224,214411820166206,1546213,800.28,23-Jan-2024,,
155,20-Jan-2024,100004676046104,325511806536047,1546214,1520,23-Jan-2024,,
156,20-Jan-2024,100004740364957,158517824548521,1546215,1490.75,23-Jan-2024,,
157,20-Jan-2024,100004740687557,175093824606431,1546218,1719.1,23-Jan-2024,,
158,20-Jan-2024,100004732958483,126823822729683,1546219,170,23-Jan-2024,,
159,20-Jan-2024,100004664026583,265222803269363,1546220,1551.4,23-Jan-2024,,
160,20-Jan-2024,100004630712543,996291795230622,1546222,2500,23-Jan-2024,,
161,20-Jan-2024,100004741289715,170166824911666,1546223,1616.1,23-Jan-2024,,
162,20-Jan-2024,100004705930774,174235814881219,1546224,1000,23-Jan-2024,,
163,22-Jan-2024,100004744196200,100923825420176,1546362,799.1,23-Jan-2024,,
164,22-Jan-2024,100004742354831,172561825201109,1546364,960.28,23-Jan-2024,,
165,22-Jan-2024,100004701327904,197976813409431,1546365,110.28,23-Jan-2024,,
166,22-Jan-2024,100004709269481,345209815920808,1546367,1860,23-Jan-2024,,
167,22-Jan-2024,100004618257794,830664792194327,1546369,990,23-Jan-2024,,
168,22-Jan-2024,100004646206797,276745798254739,1546370,135.28,23-Jan-2024,,
169,22-Jan-2024,100004737674036,505414823713199,1546371,1040,23-Jan-2024,,
170,22-Jan-2024,100004737510913,140263823744808,1546372,2130,23-Jan-2024,,
171,22-Jan-2024,100004743978988,211299825416973,1546374,158.05,23-Jan-2024,,
172,22-Jan-2024,100004699674559,673538813086291,1546375,705.84,23-Jan-2024,,
173,22-Jan-2024,100004702899911,106633813773351,1546376,1335.28,23-Jan-2024,,
174,22-Jan-2024,100004671357122,201271805097008,1546379,2050,23-Jan-2024,,
175,22-Jan-2024,100004689051531,152598809592085,1546380,1520,23-Jan-2024,,
176,22-Jan-2024,100004704487365,145001814388069,1546381,205,23-Jan-2024,,
177,22-Jan-2024,100004744761433,442648825770897,1546382,218.4,23-Jan-2024,,
178,22-Jan-2024,100004702899871,122548813769220,1546384,1335.28,23-Jan-2024,,
179,22-Jan-2024,100004740392654,175612824548376,1546385,1960.56,23-Jan-2024,,
180,22-Jan-2024,100004744091314,131232825416871,1546386,897.7,23-Jan-2024,,
181,22-Jan-2024,100004744077906,350482825430823,1546387,760,23-Jan-2024,,
182,22-Jan-2024,100004744035783,163875825416453,1546388,1859.1,23-Jan-2024,,
183,22-Jan-2024,100004672573296,152520805519794,1546391,1450.56,23-Jan-2024,,
184,22-Jan-2024,100004742617874,106132825220922,1546392,60,23-Jan-2024,,
185,22-Jan-2024,100004618331447,108609792203035,1546393,330,23-Jan-2024,,
