S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,25-Jan-2024,100004750882486,166823827852151,1546646,542.7,29-Jan-2024,,
2,25-Jan-2024,100004745713655,145465826030613,1546657,365,29-Jan-2024,,
3,26-Jan-2024,100004747563658,120275826692494,1546687,1095.84,29-Jan-2024,,
4,26-Jan-2024,100004747548789,135600826692376,1546688,305.28,29-Jan-2024,,
5,26-Jan-2024,100004739875798,177797824475403,1546690,1320,29-Jan-2024,,
6,26-Jan-2024,100004752184772,747395828039711,1546691,2170,29-Jan-2024,,
7,26-Jan-2024,100004751658177,191343827927028,1546692,1547.7,29-Jan-2024,,
8,26-Jan-2024,100004745867908,194859826100483,1546693,215,29-Jan-2024,,
9,26-Jan-2024,100004746587692,145571826515368,1546695,114,29-Jan-2024,,
10,26-Jan-2024,100004674069787,182406806091233,1546696,185,29-Jan-2024,,
11,26-Jan-2024,100004751629821,198424827927801,1546698,878.4,29-Jan-2024,,
12,26-Jan-2024,100004747181989,142061826636621,1546700,1085.28,29-Jan-2024,,
13,26-Jan-2024,100004747358141,164363826637210,1546701,2610.84,29-Jan-2024,,
14,26-Jan-2024,100004748620078,134877827158674,1546702,885,29-Jan-2024,,
15,26-Jan-2024,100004686799004,268632809156473,1546703,20,29-Jan-2024,,
16,26-Jan-2024,100004751235008,202455827881926,1546705,1836.45,29-Jan-2024,,
17,26-Jan-2024,100004729036820,185746822282266,1546706,745.28,29-Jan-2024,,
18,26-Jan-2024,100004741942263,183562825160668,1546707,3830.56,29-Jan-2024,,
19,26-Jan-2024,100004751882534,125887827971641,1546710,700,29-Jan-2024,,
20,26-Jan-2024,100004699058302,178380813019185,1546711,250,29-Jan-2024,,
21,26-Jan-2024,100004708061801,184715815612460,1546712,435.28,29-Jan-2024,,
22,26-Jan-2024,100004613286401,912438791616559,1546713,295,29-Jan-2024,,
23,28-Jan-2024,100004753046762,446477828195790,1546822,1040,29-Jan-2024,,
